,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,Shares,PricePerShare,SharesOwnedFollowing,fileDate
18725,OI,2023-03-07T00:00:00.000Z,Torno Vitaliano,A,A,12581.0,0.0,170591.0,2023-03-09T21:19:31.000Z
18726,OI,2023-03-07T00:00:00.000Z,Lopez Andres Alberto,A,A,125606.0,0.0,1267544.0,2023-03-09T21:19:28.000Z
18727,OI,2023-03-07T00:00:00.000Z,Lopez Andres Alberto,D,F,95269.0,22.65,1172275.0,2023-03-09T21:19:28.000Z
18728,HPE,2023-03-07T00:00:00.000Z,MAY ALAN RICHARD,A,M,478226.0,10.48,952737.0,2023-03-09T21:19:21.000Z
18729,HPE,2023-03-07T00:00:00.000Z,MAY ALAN RICHARD,D,S,225000.0,15.1062,249511.0,2023-03-09T21:19:21.000Z
18730,HPE,2023-03-07T00:00:00.000Z,MAY ALAN RICHARD,D,S,478226.0,15.1062,474511.0,2023-03-09T21:19:21.000Z
18731,HPE,2023-03-07T00:00:00.000Z,Hotard Justin,A,M,5668.0,8.83,19830.0,2023-03-09T21:19:06.000Z
18732,HPE,2023-03-07T00:00:00.000Z,Hotard Justin,D,S,13788.0,15.009,14162.0,2023-03-09T21:19:06.000Z
18733,HPE,2023-03-07T00:00:00.000Z,Hotard Justin,D,S,5668.0,15.009,14162.0,2023-03-09T21:19:06.000Z
18734,FCCO,2023-03-07T00:00:00.000Z,"Brown, Robin D.",D,F,690.0,20.0,18497.376,2023-03-09T21:18:38.000Z
18735,GD,2023-03-07T00:00:00.000Z,Brady Christopher J,A,A,2420.0,0.0,16447.0,2023-03-09T21:18:28.000Z
18736,GD,2023-03-08T00:00:00.000Z,Brady Christopher J,A,A,2140.0,0.0,17550.0,2023-03-09T21:18:28.000Z
18737,GD,2023-03-07T00:00:00.000Z,Brady Christopher J,D,F,1037.0,231.88,15410.0,2023-03-09T21:18:28.000Z
18738,PTC,2023-03-07T00:00:00.000Z,Moret Blake D.,D,S,1170.0,124.3304,7265696.0,2023-03-09T21:18:27.000Z
18739,PTC,2023-03-07T00:00:00.000Z,Moret Blake D.,D,S,1800.0,123.4944,7266866.0,2023-03-09T21:18:27.000Z
18740,PTC,2023-03-07T00:00:00.000Z,Moret Blake D.,D,S,16398.0,122.2801,7268666.0,2023-03-09T21:18:27.000Z
18741,PTC,2023-03-08T00:00:00.000Z,Moret Blake D.,D,S,20000.0,122.4252,7245696.0,2023-03-09T21:18:27.000Z
18742,OI,2023-03-07T00:00:00.000Z,Haudrich John,D,F,24984.0,22.65,242303.0,2023-03-09T21:18:16.000Z
18743,OI,2023-03-07T00:00:00.000Z,Haudrich John,A,A,33495.0,0.0,267287.0,2023-03-09T21:18:16.000Z
18744,WHR,2023-03-07T00:00:00.000Z,Bitzer Marc R,A,G,496.0,0.0,3062.0,2023-03-09T21:17:33.000Z
18745,WHR,2023-03-07T00:00:00.000Z,Bitzer Marc R,D,G,496.0,0.0,98592.0,2023-03-09T21:17:33.000Z
18746,AMBC,2023-03-08T00:00:00.000Z,LeBlanc Claude,D,F,1573.0,16.41,499916.0,2023-03-09T21:17:22.000Z
18747,AMBC,2023-03-08T00:00:00.000Z,LeBlanc Claude,A,M,1573.0,0.0,501489.0,2023-03-09T21:17:22.000Z
18748,GGG,2023-02-27T00:00:00.000Z,MORFITT MARTHA A M,A,G,3300.0,0.0,3300.0,2023-03-09T21:17:03.000Z
18749,GGG,2023-02-27T00:00:00.000Z,MORFITT MARTHA A M,D,G,3300.0,0.0,188769.0,2023-03-09T21:17:03.000Z
18750,LDI,2023-03-08T00:00:00.000Z,Binowitz Dan,D,S,9999.0,1.8606,312332.0,2023-03-09T21:16:55.000Z
18751,LDI,2023-03-07T00:00:00.000Z,Binowitz Dan,D,S,9999.0,1.9113,322331.0,2023-03-09T21:16:55.000Z
18752,LDI,2023-03-07T00:00:00.000Z,Walsh Jeff Alexander,D,S,982.0,1.911,4348845.0,2023-03-09T21:16:41.000Z
18753,OI,2023-03-07T00:00:00.000Z,ABRAHAMS DARROW A,D,F,9722.0,22.65,89332.0,2023-03-09T21:16:13.000Z
18754,OI,2023-03-07T00:00:00.000Z,ABRAHAMS DARROW A,A,A,19392.0,0.0,99054.0,2023-03-09T21:16:13.000Z
18755,OI,2023-03-07T00:00:00.000Z,AUJOUANNET ARNAUD,A,A,7244.0,0.0,62612.0,2023-03-09T21:16:11.000Z
18756,SPT,2023-03-08T00:00:00.000Z,Howard Justyn Russell,D,S,1700.0,65.237,0.0,2023-03-09T21:16:06.000Z
18757,SPT,2023-03-08T00:00:00.000Z,Howard Justyn Russell,A,C,20000.0,0.0,20000.0,2023-03-09T21:16:06.000Z
18758,SPT,2023-03-08T00:00:00.000Z,Howard Justyn Russell,D,S,6095.0,64.52,1700.0,2023-03-09T21:16:06.000Z
18759,SPT,2023-03-08T00:00:00.000Z,Howard Justyn Russell,D,S,12205.0,63.642,7795.0,2023-03-09T21:16:06.000Z
18760,TNC,2023-03-07T00:00:00.000Z,Arvani Azita,A,M,2320.0,46.59,15038.0,2023-03-09T21:15:39.000Z
18761,TNC,2023-03-07T00:00:00.000Z,Arvani Azita,D,S,2320.0,70.688,12718.0,2023-03-09T21:15:39.000Z
18762,GD,2023-03-07T00:00:00.000Z,Aiken Jason W,D,F,5732.0,231.88,115997.0,2023-03-09T21:15:35.000Z
18763,GD,2023-03-07T00:00:00.000Z,Aiken Jason W,A,A,12708.0,0.0,121729.0,2023-03-09T21:15:35.000Z
18764,GD,2023-03-08T00:00:00.000Z,Aiken Jason W,A,A,5275.0,0.0,121272.0,2023-03-09T21:15:35.000Z
18765,AMBC,2023-03-08T00:00:00.000Z,Eisman Robert Bryan,D,F,87.0,16.41,67616.0,2023-03-09T21:15:25.000Z
18766,AMBC,2023-03-08T00:00:00.000Z,Eisman Robert Bryan,A,M,87.0,0.0,67703.0,2023-03-09T21:15:25.000Z
18767,ROP,2023-03-07T00:00:00.000Z,WRIGHT CHRISTOPHER,D,S,471.0,429.55,38127.0,2023-03-09T21:14:58.000Z
18768,AMBC,2023-03-08T00:00:00.000Z,BARRANCO DAVID,A,M,6999.0,0.0,103904.0,2023-03-09T21:14:26.000Z
18769,AMBC,2023-03-08T00:00:00.000Z,BARRANCO DAVID,D,F,3572.0,16.41,100332.0,2023-03-09T21:14:26.000Z
18770,LVLU,2023-03-08T00:00:00.000Z,Sheu Caroline Sio-Chin,A,A,8657.0,0.0,73804.0,2023-03-09T21:13:55.000Z
18771,LVLU,2023-03-08T00:00:00.000Z,Sheu Caroline Sio-Chin,A,A,65147.0,0.0,65147.0,2023-03-09T21:13:55.000Z
18772,PRT,2023-03-08T00:00:00.000Z,"Boaz Energy II, LLC",D,S,1500.0,6.9033,5226532.0,2023-03-09T21:13:29.000Z
18773,PRT,2023-03-07T00:00:00.000Z,"Boaz Energy II, LLC",D,S,3000.0,6.8848,5228032.0,2023-03-09T21:13:29.000Z
18774,PRT,2023-03-09T00:00:00.000Z,"Boaz Energy II, LLC",D,S,2600.0,6.9857,5223932.0,2023-03-09T21:13:29.000Z
18775,AMBC,2023-03-08T00:00:00.000Z,Ksenak Stephen Michael,A,M,282.0,0.0,111891.0,2023-03-09T21:13:23.000Z
18776,AMBC,2023-03-08T00:00:00.000Z,Ksenak Stephen Michael,D,M,282.0,16.41,111609.0,2023-03-09T21:13:23.000Z
18777,AMD,2023-03-07T00:00:00.000Z,KUMAR DEVINDER,D,S,30214.0,81.54,567385.0,2023-03-09T21:13:19.000Z
18778,AMD,2023-03-07T00:00:00.000Z,KUMAR DEVINDER,A,M,41849.0,19.1,597599.0,2023-03-09T21:13:19.000Z
18779,AMD,2023-03-07T00:00:00.000Z,KUMAR DEVINDER,D,S,11635.0,82.01,555750.0,2023-03-09T21:13:19.000Z
18780,MRNA,2023-03-08T00:00:00.000Z,Klinger Shannon Thyme,D,S,561.0,141.5109,5820.0,2023-03-09T21:13:02.000Z
18781,MRNA,2023-03-07T00:00:00.000Z,Klinger Shannon Thyme,A,M,1138.0,0.0,6381.0,2023-03-09T21:13:02.000Z
18782,ONL,2023-03-07T00:00:00.000Z,Landriau Gary E,A,A,26490.0,0.0,40014.0,2023-03-09T21:12:56.000Z
18783,ONL,2023-03-07T00:00:00.000Z,Schmidt Revea Lynn,A,A,19868.0,0.0,23214.0,2023-03-09T21:12:41.000Z
18784,ONL,2023-03-07T00:00:00.000Z,Day Christopher Haviland,A,A,26490.0,0.0,39976.0,2023-03-09T21:12:27.000Z
18785,AMBC,2023-03-08T00:00:00.000Z,Smith R Sharon,A,M,301.0,0.0,73908.0,2023-03-09T21:12:14.000Z
